Date,Close,High,Low,Open,Volume
29/04/2022,45820.24609,46613.17969,45310.50391,46103.4375,50944830
4/05/2022,45253.86719,45876.88672,44744.125,45820.24609,1653655
5/05/2022,45876.88672,46160.07813,45083.95313,45593.69531,1799670
6/05/2022,44970.67578,45990.16016,44970.67578,45140.58984,2349829
9/05/2022,44121.10547,45537.05859,44064.46484,44630.84766,3026229
10/05/2022,45310.50391,45310.50391,43668,43668,1634940
11/05/2022,45310.50391,45480.41797,44744.125,45310.50391,1812029
12/05/2022,43611.35938,45253.86719,43611.35938,44744.125,1794373
13/05/2022,41345.83594,44177.74219,41345.83594,43611.35938,3502346
16/05/2022,42025.49219,43271.53125,41912.21484,42761.78906,2752208
17/05/2022,43044.98047,43611.35938,41402.47266,42025.49219,4142615
18/05/2022,42705.14844,43611.35938,42478.59766,43611.35938,1652596
19/05/2022,43044.98047,43441.44531,42365.32031,42478.59766,1016628
20/05/2022,42648.51172,43328.16797,42478.59766,42535.23438,1311482
23/05/2022,42138.76953,42818.42578,41685.66406,42818.42578,1212256
24/05/2022,42818.42578,42875.06641,42082.13281,42421.96094,1586739
25/05/2022,43611.35938,43611.35938,42365.32031,43044.98047,1585504
26/05/2022,43441.44531,43668,43044.98047,43611.35938,1825447
27/05/2022,43837.91406,43837.91406,43214.89453,43441.44531,1574910
30/05/2022,44177.74219,45876.88672,43271.53125,43837.91406,2486663
31/05/2022,44687.48438,44687.48438,44177.74219,44687.48438,2098761
1/06/2022,45593.69531,45593.69531,44744.125,44744.125,1410356
2/06/2022,44744.125,45763.60938,44744.125,45763.60938,1310923
3/06/2022,43894.55078,45027.3125,43271.53125,44404.29297,1028987
6/06/2022,45140.58984,45310.50391,42535.23438,43894.55078,1554605
7/06/2022,45876.88672,46443.26563,44234.37891,44744.125,1790313
8/06/2022,44857.39844,45876.88672,44630.84766,45876.88672,2153495
9/06/2022,44064.46484,45253.86719,44007.82813,44744.125,1884771
10/06/2022,44007.82813,44744.125,43837.91406,44064.46484,690169
13/06/2022,43271.53125,43611.35938,41968.85547,43611.35938,2155437
14/06/2022,43611.35938,44234.37891,41912.21484,42761.78906,1919554
15/06/2022,43328.16797,44347.65625,42648.51172,43837.91406,2195693
16/06/2022,44800.76172,45310.50391,43328.16797,43441.44531,2338706
17/06/2022,43101.61719,44347.65625,43101.61719,43611.35938,1892010
20/06/2022,43044.98047,45027.3125,42648.51172,45027.3125,1923967
21/06/2022,44007.82813,44007.82813,42591.875,43044.98047,1725162
22/06/2022,43044.98047,44177.74219,42478.59766,44121.10547,3822865
23/06/2022,42988.33984,43441.44531,42421.96094,42535.23438,1042053
24/06/2022,42478.59766,43214.89453,42252.04688,43158.25391,1215787
27/06/2022,42421.96094,43044.98047,42365.32031,42761.78906,1692322
28/06/2022,43214.89453,43611.35938,42365.32031,42478.59766,1934737
29/06/2022,42761.78906,42988.33984,42648.51172,42931.70313,2449762
30/06/2022,42365.32031,43044.98047,42365.32031,42761.78906,1402707
1/07/2022,41912.21484,42478.59766,41289.19531,42195.40625,2441817
4/07/2022,41968.85547,42591.875,41855.57813,42421.96094,1388110
5/07/2022,41912.21484,42421.96094,41685.66406,42421.96094,1879475
6/07/2022,41232.55859,41855.57813,39023.67188,41742.30078,2902991
7/07/2022,42761.78906,42761.78906,40609.53906,41175.92188,2273026
8/07/2022,41912.21484,42478.59766,41855.57813,42421.96094,1343617
11/07/2022,40779.45313,41629.02734,40779.45313,41515.75,1336201
12/07/2022,40722.81641,41119.28125,40609.53906,40836.09375,1483981
13/07/2022,40666.17578,41572.38672,40439.625,40666.17578,2436343
14/07/2022,41006.00781,41232.55859,40552.90234,40666.17578,775801
15/07/2022,40949.36719,41629.02734,40836.09375,40836.09375,1106144
18/07/2022,40779.45313,41289.19531,40779.45313,41062.64453,691053
19/07/2022,40382.98828,40836.09375,40269.71094,40779.45313,1628055
20/07/2022,41062.64453,41062.64453,40552.90234,40552.90234,1013273
21/07/2022,41062.64453,41289.19531,40836.09375,41062.64453,2056211
22/07/2022,41062.64453,41175.92188,40779.45313,40836.09375,1976759
25/07/2022,41289.19531,41459.11328,40779.45313,41006.00781,1750939
26/07/2022,41855.57813,42138.76953,41459.11328,41459.11328,1977112
27/07/2022,42478.59766,42478.59766,41742.30078,41912.21484,2418687
28/07/2022,42648.51172,42818.42578,42365.32031,42705.14844,2107766
29/07/2022,42308.68359,42761.78906,42308.68359,42705.14844,4412221
1/08/2022,43611.35938,43611.35938,42138.76953,42308.68359,2938479
2/08/2022,44687.48438,44857.39844,43044.98047,43611.35938,3138873
3/08/2022,45027.3125,45027.3125,44177.74219,44347.65625,3279944
4/08/2022,46726.45703,46726.45703,44970.67578,45027.3125,4145793
5/08/2022,46443.26563,46669.82031,45933.52344,46443.26563,2464416
8/08/2022,46443.26563,46726.45703,46386.62891,46443.26563,1707330
9/08/2022,45763.60938,46443.26563,45253.86719,46443.26563,2303923
10/08/2022,45593.69531,45876.88672,45367.14063,45367.14063,966662
11/08/2022,46160.07813,46443.26563,45650.33203,46046.80078,2160204
12/08/2022,46216.71484,46386.62891,45820.24609,46160.07813,2469713
15/08/2022,46329.99219,46613.17969,46273.35156,46443.26563,2329701
16/08/2022,46160.07813,46443.26563,45933.52344,46443.26563,1795079
17/08/2022,46160.07813,46273.35156,45990.16016,45990.16016,1502521
18/08/2022,46160.07813,46443.26563,45990.16016,46046.80078,3025522
19/08/2022,45820.24609,46443.26563,45650.33203,45650.33203,2118714
22/08/2022,45310.50391,46160.07813,45310.50391,45367.14063,1090783
23/08/2022,45423.78125,46046.80078,45253.86719,45310.50391,1435428
24/08/2022,46443.26563,46953.01172,45480.41797,45990.16016,2005185
25/08/2022,46443.26563,46556.54297,46046.80078,46556.54297,1113736
26/08/2022,46726.45703,47406.11328,46443.26563,46443.26563,2815240
29/08/2022,46726.45703,46726.45703,45820.24609,46103.4375,1877709
30/08/2022,48708.79297,48708.79297,46726.45703,46726.45703,4524865
31/08/2022,47576.03125,48991.98438,47576.03125,48708.79297,1991413
5/09/2022,46783.09766,47745.94531,46726.45703,47576.03125,2794582
6/09/2022,46839.73438,47576.03125,46499.90625,46783.09766,1813795
7/09/2022,45310.50391,46726.45703,45197.22656,46443.26563,4176161
8/09/2022,44177.74219,45820.24609,44177.74219,45820.24609,2514736
9/09/2022,44630.84766,44914.03906,44291.01953,44460.93359,4775297
12/09/2022,44800.76172,45140.58984,44630.84766,45083.95313,1811146
13/09/2022,44517.57031,44970.67578,44517.57031,44970.67578,3804679
14/09/2022,44347.65625,45027.3125,43611.35938,43724.63672,1917081
15/09/2022,44857.39844,44914.03906,44234.37891,44460.93359,1419891
16/09/2022,45310.50391,45310.50391,44460.93359,44914.03906,2682291
19/09/2022,44630.84766,45423.78125,44177.74219,44744.125,1819444
20/09/2022,44857.39844,45310.50391,44517.57031,44630.84766,920227
21/09/2022,44687.48438,45083.95313,44121.10547,44914.03906,2682291
22/09/2022,44177.74219,44517.57031,43894.55078,44007.82813,2215821
